#,Component,Quantity,Package/Footprint,Supplier,Links,Price (€)
1,Seeed XIAO RP2040,1,DIP-14 (castellated),AliExpress,https://de.aliexpress.com/item/1005008200917480.html?pdp_npi=6%40dis%21EUR%218.10%215.59%21%21%219.14%216.31%21%402102f32217742628008587529ef279%2112000044216833796%21affd%21%21%21%211%210%21&dp=Cj0KCQjwm6POBhCrARIsAIG58CKS17xSaS78aWSYk3imUtVEEJpIP22bRqZp9Jlnsjw1CWgY0nWPiKEaAguYEALw_wcB%7C0AAAAA_48aDT7kLN4LF0kRU3bRUpZVmFt5%7CCj8KCQjw-J3OBhD_ARIuAO9cc_3KMASxW2LCTUTF_ol7vsW3RiU1A4HML7UEphkZ7e5HGElaXph-jk0EChoCfBI%7Cv1&cn=de_a&gad_source=1&aff_fcid=b89a9ca0a6394cd291666610eac2350f-1774808436114-05052-_onKPRpM&aff_fsk=_onKPRpM&aff_platform=api-new-product-query&sk=_onKPRpM&aff_trace_key=b89a9ca0a6394cd291666610eac2350f-1774808436114-05052-_onKPRpM&terminal_id=d6ce9babe92f4b679f54c8315cf0ccd2&afSmartRedirect=y&gatewayAdapt=glo2deu,5.49
2,Cherry MX Compatible Switch,9,MX Hotswap 1U,Amazon,https://www.amazon.de/Topiky-Mechanische-Tastaturschalter-Keyboard-Mounted-default/dp/B086MQXQW7,7.23
3,SK6812 MINI-E RGB LED,9,Reverse-mount 3228,AliExpress,https://de.aliexpress.com/item/1005008308801366.html?pdp_npi=6%40dis%21EUR%211.77%211.49%21%21%2113.81%2111.63%21%40210158e717742786410142211edcfd%2112000044567528124%21affd%21%21%21%211%210%21&dp=Cj0KCQjwm6POBhCrARIsAIG58CKKpKNrK5T-wKXICmCONUuydY38mdtf9-VsWTsEKuzToRqxjDvxltQaAksEEALw_wcB%7C0AAAAA_48aDTq-KbECBNaypJx08g2KV6o_%7CCj8KCQjw-J3OBhD_ARIuAO9cc_0ilfaJVl1vurHeYop2zH_fvKaH8b3dApBimCHCECrZvZpH2CFofeGX9RoCK8Q%7Cv1&cn=de_a&gad_source=1&aff_fcid=2303e6fa85ea4982bc90638f454bb854-1774808618409-07928-_onKPRpM&aff_fsk=_onKPRpM&aff_platform=api-new-product-query&sk=_onKPRpM&aff_trace_key=2303e6fa85ea4982bc90638f454bb854-1774808618409-07928-_onKPRpM&terminal_id=d6ce9babe92f4b679f54c8315cf0ccd2&afSmartRedirect=y,4.82
4,1N4148 Diode,9,DO-35 (THT),AliExpress,https://de.aliexpress.com/item/1005009372401863.html?dp=Cj0KCQjwm6POBhCrARIsAIG58CJ-qn3WXHWt6TlW_DhKjO7zeW1wU6JUxeU6wExWENcE1dRUnFwUTXkaAnbjEALw_wcB&isdl=y&aff_fsk=_Ewnfkmp&src=shoparizeDE&aff_platform=aff_feeds&aff_short_key=_Ewnfkmp&pdp_npi=4%40dis%21EUR%213.00%211.49%21%21%21%21%21%40%2112000048900491989%21afff%21%21%21,1.49
5,EC11 Rotary Encoder,1,"Alps EC11E, vertical, 20mm shaft",AliExpress,https://de.aliexpress.com/item/1005008036285937.html?isdl=y&aff_fsk=_onP72rg&src=ShopmosDE&aff_platform=aff_feeds&aff_short_key=_onP72rg&pdp_npi=4%40dis%21EUR%211.75%211.49%21%21%21%21%21%40%2112000043354017639%21afff%21%21%21&dp=Cj0KCQjwm6POBhCrARIsAIG58CL2HZ4Ye1UiQ48z3UtxFMMHD7Nxm28UhGTAux525PczOY-6wvuS89EaAk2jEALw_wcB%7C3002&gad_source=1&gad_campaignid=23560149345&gbraid=0AAAAADtppYeb_XqtjSZpD59MBYDck0ys6&gclid=Cj0KCQjwm6POBhCrARIsAIG58CL2HZ4Ye1UiQ48z3UtxFMMHD7Nxm28UhGTAux525PczOY-6wvuS89EaAk2jEALw_wcB,5.18
6,"0.91"" OLED Display (SSD1306)",1,"4-pin I2C header, 128×32",AliExpress,https://de.aliexpress.com/item/1005010665352578.html?dp=Cj0KCQjwm6POBhCrARIsAIG58CI_AUOtKFcObKKbWtz_lchJ3VybXIKZLz2YRxwUZOGAFkiBcjP3UUoaAruJEALw_wcB&isdl=y&aff_fsk=_Ewnfkmp&src=shoparizeDE&aff_platform=aff_feeds&aff_short_key=_Ewnfkmp&pdp_npi=4%40dis%21EUR%217.00%213.29%21%21%21%21%21%40%2112000053124264639%21afff%21%21%21,7.11
7,Encoder Knob,1,6mm D-shaft compatible,AliExpress,https://de.aliexpress.com/item/4000027546987.html?pdp_npi=6%40dis%21EUR%210.82%210.82%21%21%210.92%210.92%21%402140e70617742681564052565e6603%2112000022647704828%21affd%21%21%21%211%210%21&dp=Cj0KCQjwm6POBhCrARIsAIG58CIjOT-ylPs_3zCyGEltqjby_j0PKJRUk01yNn-fscovwFNOiTNSCdkaAnBMEALw_wcB%7C0AAAAA_48aDSttvK7fuvCDne0aOBX0ARR8%7CCj8KCQjw-J3OBhD_ARIuAO9cc_3IHLfXw_Q4UDCB_inVhVILDY0-nW9y9wqJtIXwWxaICY9MuV3HRGg7FxoC7co%7Cv1&cn=de_a&gad_source=1&aff_fcid=c5611c390ac0406582f0b906ce90d63d-1774808828666-02788-_onKPRpM&aff_fsk=_onKPRpM&aff_platform=api-new-product-query&sk=_onKPRpM&aff_trace_key=c5611c390ac0406582f0b906ce90d63d-1774808828666-02788-_onKPRpM&terminal_id=d6ce9babe92f4b679f54c8315cf0ccd2&afSmartRedirect=y,3.76
8,MX Keycaps (1U),9,MX stem compatible,AliExpress,https://de.aliexpress.com/item/1005010020786682.html?pdp_npi=6%40dis%21EUR%218.20%213.39%21%21%2163.96%2126.44%21%4021411b6217742627615981756e8ecb%2112000050859484342%21affd%21%21%21%211%210%21&dp=Cj0KCQjwm6POBhCrARIsAIG58CJzdFw16qVdT665jwAFK59O3wlH1cX7Xgdc5S4ht0kG5wL-wgINwe0aAqMPEALw_wcB%7C0AAAAA_48aDTq-KbECBNaypJx08g2KV6o_%7CCj8KCQjw-J3OBhD_ARIuAO9cc_0ilfaJVl1vurHeYop2zH_fvKaH8b3dApBimCHCECrZvZpH2CFofeGX9RoCK8Q%7Cv1&cn=de_a&gad_source=1&aff_fcid=9c68343f83774382bd5800f2f77e2ccc-1774808881055-06669-_onKPRpM&aff_fsk=_onKPRpM&aff_platform=api-new-product-query&sk=_onKPRpM&aff_trace_key=9c68343f83774382bd5800f2f77e2ccc-1774808881055-06669-_onKPRpM&terminal_id=d6ce9babe92f4b679f54c8315cf0ccd2&afSmartRedirect=y,8.2
9,M2.5×6mm Screws,4,M2.5 pan head,Moddiy,https://www.moddiy.com/products/1268/M2.5-x-6mm-Black-Screws-CM2.5x6x4.5.html?srsltid=AfmBOor1l3k0m8iqeO0md5--jtrufLyjE8GHmu0CuJuh-TZJ5s5ufpmK_Jc,0.69
10,M2.5×4mm Standoffs,4,M2.5 female-female,Amazon,https://www.amazon.de/Standoff-Schraube-Computer-Motherboard-Weiblich/dp/B0CCQBQHJQ?th=1,7.28
11,Rubber Feet (adhesive),4,~8mm diameter,AliExpress,https://de.aliexpress.com/item/1005007854664253.html?isdl=y&aff_fsk=_onP72rg&src=ShopmosDE&aff_platform=aff_feeds&aff_short_key=_onP72rg&pdp_npi=4%40dis%21EUR%211.10%210.84%21%21%21%21%21%40%2112000042552775469%21afff%21%21%21&dp=Cj0KCQjwm6POBhCrARIsAIG58CKIrJa0vNkDATni3NbhFZy5pE1fihlBIgJIRUbFmby9nRWSEc5DrkoaAtsPEALw_wcB%7C3002&gad_source=1&gad_campaignid=23560149345&gbraid=0AAAAADtppYeb_XqtjSZpD59MBYDck0ys6&gclid=Cj0KCQjwm6POBhCrARIsAIG58CKIrJa0vNkDATni3NbhFZy5pE1fihlBIgJIRUbFmby9nRWSEc5DrkoaAtsPEALw_wcB,3.83
12,USB-C Cable,1,USB-C to USB-A/C,AliExpress,https://de.aliexpress.com/item/1005004784212304.html?dp=Cj0KCQjwm6POBhCrARIsAIG58CJ_1v4WQHQzHS3JRF8J9AWSV0JNH6oflOGjN2HOeu3EMGusW4f1ZAoaAlALEALw_wcB&isdl=y&aff_fsk=_Ewnfkmp&src=shoparizeDE&aff_platform=aff_feeds&aff_short_key=_Ewnfkmp&pdp_npi=4%40dis%21EUR%211.89%211.89%21%21%21%21%21%40%2112000030474752977%21afff%21%21%21,1.93
,,,,,,
,,,,,,
,,,,,,
,,,,,TOTAL:,32.8